Date,ANZ.AX,BHP.AX,WTC.AX
2020/9/24,15.323343,32.328655,26.10704
2020/9/25,16.286161,32.93301,25.728098
2020/9/28,16.077251,32.521355,25.758017
2020/9/29,15.968249,32.311138,26.635563
2020/9/30,15.641254,31.181259,25.718128
2020/10/1,15.795667,31.785616,25.797907
2020/10/2,15.51409,30.760836,25.758017
2020/10/5,16.168079,31.654234,25.887651
2020/10/6,16.249826,31.776855,26.406202
2020/10/7,16.631321,31.426508,26.485979
2020/10/8,16.840237,32.100929,27.313667
2020/10/9,16.903818,32.039623,26.765202
2020/10/12,17.239897,31.916996,27.044422
2020/10/13,17.712223,31.803133,28.031662
2020/10/14,17.530558,31.557886,27.991774
2020/10/15,17.585056,32.206036,27.263807
2020/10/16,17.53964,31.750578,27.69261
2020/10/19,17.721306,31.969549,28.91918
2020/10/20,17.548725,31.444021,29.228315
2020/10/21,17.803055,31.627956,29.088709
2020/10/22,17.712223,31.95203,29.298122
2020/10/23,17.966553,31.53161,29.088709
2020/10/26,17.875721,31.295122,29.367928
2020/10/27,17.712223,30.603176,28.560184
2020/10/28,17.403393,30.454279,29.697008
2020/10/29,16.985569,29.78861,29.1984
2020/10/30,17.085484,29.587158,28.809488
2020/11/2,17.494226,29.613436,28.450491
2020/11/3,17.684973,30.392969,29.65712
2020/11/4,17.530558,30.025099,30.813887
2020/11/5,17.684973,29.990065,31.003357
2020/11/6,17.803055,30.36669,31.312492
2020/11/9,17.775309,31.426508,32.918007
2020/11/10,18.6724,31.557886,32.549038
2020/11/11,19.26429,32.276104,32.060402
2020/11/12,19.05158,31.925756,32.090321
2020/11/13,19.033083,31.330154,31.940735
2020/11/16,19.54174,31.960789,31.751266
2020/11/17,20.087395,32.416245,30.554609
2020/11/18,20.355597,32.258591,30.674276
2020/11/19,20.762524,31.978304,30.614443
2020/11/20,20.660789,31.654234,30.544638
2020/11/23,20.605303,32.451279,30.624414
2020/11/24,21.243435,33.546127,30.813887
2020/11/25,21.881571,34.562145,30.026087
2020/11/26,21.50239,34.343178,30.285364
2020/11/27,21.354416,33.913998,29.866535
2020/11/30,20.93824,33.344677,30.813887
2020/12/1,21.1602,33.773857,31.870932
2020/12/2,21.298925,34.430767,30.754055
2020/12/3,21.28043,36.129971,29.836618
2020/12/4,21.548632,36.348938,30.68425
2020/12/7,21.585625,37.128471,31.152939
2020/12/8,21.641115,37.005848,31.900846
2020/12/9,21.548632,37.426266,31.482019
2020/12/10,21.428404,37.207298,30.315279
2020/12/11,21.215693,37.505096,30.325253
2020/12/14,21.437651,37.435028,30.375111
2020/12/15,21.243435,36.594185,30.105865
2020/12/16,21.530136,37.268612,30.255445
2020/12/17,21.807587,37.925514,31.561796
2020/12/18,21.493141,37.794136,32.858173
